Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Parkin,,,2018-05-24 00:52:25,2018-05-24 00:52:28,"2,663s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToChangeTariff,,,2018-05-24 00:52:26,2018-05-24 00:52:26,"0,855s",FAILED
openBrowser,,,2018-05-24 00:52:26,2018-05-24 00:52:26,"0,585s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToGoToStatistics,,,2018-05-24 00:52:26,2018-05-24 00:52:27,"0,300s",FAILED
openBrowser,,,2018-05-24 00:52:27,2018-05-24 00:52:27,"0,089s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterACarAndSeeConfirmation,,,2018-05-24 00:52:27,2018-05-24 00:52:27,"0,295s",FAILED
openBrowser,,,2018-05-24 00:52:27,2018-05-24 00:52:27,"0,023s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterCarAndReleaseIt,,,2018-05-24 00:52:27,2018-05-24 00:52:27,"0,275s",FAILED
openBrowser,,,2018-05-24 00:52:27,2018-05-24 00:52:27,"0,040s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldSeeErrorAfterTryingToReleaseSameCarTwice,,,2018-05-24 00:52:27,2018-05-24 00:52:28,"0,367s",FAILED
openBrowser,,,2018-05-24 00:52:28,2018-05-24 00:52:28,"0,085s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldSeeFullBannerAfterTryingToRegisterTooManyCars,,,2018-05-24 00:52:28,2018-05-24 00:52:28,"0,170s",FAILED
openBrowser,,,2018-05-24 00:52:28,2018-05-24 00:52:28,"0,005s",FAILED
