Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Parkin,Chrome 66.0.3359.181,,2018-05-22 03:31:38,2018-05-22 03:32:39,"1m - 0,730s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToChangeTariff,Chrome 66.0.3359.181,,2018-05-22 03:31:39,2018-05-22 03:31:46,"7,009s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:31:39,2018-05-22 03:31:42,"2,655s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:31:42,2018-05-22 03:31:43,"1,130s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:31:43,2018-05-22 03:31:44,"0,944s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:44,"0,221s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:44,"0,078s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:44,"0,094s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:44,"0,059s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:44,"0,089s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:44,"0,058s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:44,"0,080s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:44,"0,072s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:44,2018-05-22 03:31:45,"0,581s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:31:45,2018-05-22 03:31:46,"0,719s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToGoToStatistics,Chrome 66.0.3359.181,,2018-05-22 03:31:46,2018-05-22 03:31:51,"4,835s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:31:46,2018-05-22 03:31:48,"2,036s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:31:48,2018-05-22 03:31:49,"1,154s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:31:49,2018-05-22 03:31:50,"0,606s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:50,2018-05-22 03:31:50,"0,163s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:31:50,2018-05-22 03:31:51,"0,735s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterACarAndSeeConfirmation,Chrome 66.0.3359.181,,2018-05-22 03:31:51,2018-05-22 03:31:56,"5,387s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:31:51,2018-05-22 03:31:53,"2,017s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:31:53,2018-05-22 03:31:54,"1,149s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:31:54,2018-05-22 03:31:55,"0,593s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:31:55,2018-05-22 03:31:55,"0,091s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:55,2018-05-22 03:31:55,"0,096s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:31:55,2018-05-22 03:31:55,"0,606s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:31:55,2018-05-22 03:31:56,"0,702s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterCarAndReleaseIt,Chrome 66.0.3359.181,,2018-05-22 03:31:56,2018-05-22 03:32:02,"6,380s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:31:56,2018-05-22 03:31:58,"1,992s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:31:58,2018-05-22 03:31:59,"1,159s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:31:59,2018-05-22 03:32:00,"0,775s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:32:00,2018-05-22 03:32:00,"0,086s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:32:00,2018-05-22 03:32:00,"0,078s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:32:00,2018-05-22 03:32:00,"0,138s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:32:00,2018-05-22 03:32:00,"0,080s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:32:00,2018-05-22 03:32:01,"1,015s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:32:01,2018-05-22 03:32:02,"0,097s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:32:02,2018-05-22 03:32:02,"0,816s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldSeeErrorAfterTryingToReleaseSameCarTwice,Chrome 66.0.3359.181,,2018-05-22 03:32:02,2018-05-22 03:32:10,"7,276s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:32:03,2018-05-22 03:32:05,"1,993s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:32:05,2018-05-22 03:32:06,"1,134s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:32:06,2018-05-22 03:32:06,"0,653s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:32:06,2018-05-22 03:32:06,"0,095s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:32:06,2018-05-22 03:32:06,"0,072s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:32:06,2018-05-22 03:32:07,"0,097s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:32:07,2018-05-22 03:32:07,"0,069s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:32:07,2018-05-22 03:32:08,"1,001s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:32:08,2018-05-22 03:32:08,"0,097s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:32:08,2018-05-22 03:32:09,"1,002s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:32:09,2018-05-22 03:32:09,"0,082s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:32:09,2018-05-22 03:32:09,"0,069s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:32:09,2018-05-22 03:32:09,"0,058s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:32:09,2018-05-22 03:32:10,"0,714s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldSeeFullBannerAfterTryingToRegisterTooManyCars,Chrome 66.0.3359.181,,2018-05-22 03:32:10,2018-05-22 03:32:39,"29,491s",PASSED
