Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Parkin,Chrome 66.0.3359.181,,2018-05-22 03:13:47,2018-05-22 03:14:17,"29,895s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToChangeTariff,Chrome 66.0.3359.181,,2018-05-22 03:13:47,2018-05-22 03:13:51,"4,319s",FAILED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:13:47,2018-05-22 03:13:50,"2,672s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:13:50,2018-05-22 03:13:51,"0,896s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:13:51,2018-05-22 03:13:51,"0,526s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToGoToStatistics,Chrome 66.0.3359.181,,2018-05-22 03:13:51,2018-05-22 03:13:55,"3,885s",FAILED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:13:52,2018-05-22 03:13:54,"2,719s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:13:54,2018-05-22 03:13:55,"0,509s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:13:55,2018-05-22 03:13:55,"0,514s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterACarAndSeeConfirmation,Chrome 66.0.3359.181,,2018-05-22 03:13:55,2018-05-22 03:14:00,"4,978s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:13:55,2018-05-22 03:13:58,"2,710s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:13:58,2018-05-22 03:13:59,"0,664s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:13:59,2018-05-22 03:13:59,"0,107s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:13:59,2018-05-22 03:13:59,"0,067s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:13:59,2018-05-22 03:14:00,"0,596s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:00,2018-05-22 03:14:00,"0,726s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterCarAndReleaseIt,Chrome 66.0.3359.181,,2018-05-22 03:14:00,2018-05-22 03:14:04,"3,528s",FAILED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:00,2018-05-22 03:14:02,"2,015s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:14:02,2018-05-22 03:14:03,"0,659s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:03,2018-05-22 03:14:03,"0,124s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:03,2018-05-22 03:14:03,"0,066s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:03,2018-05-22 03:14:03,"0,119s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:03,2018-05-22 03:14:03,"0,067s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:03,2018-05-22 03:14:04,"0,339s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldSeeErrorAfterTryingToReleaseSameCarTwice,Chrome 66.0.3359.181,,2018-05-22 03:14:04,2018-05-22 03:14:11,"6,832s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:04,2018-05-22 03:14:07,"2,668s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:14:07,2018-05-22 03:14:07,"0,707s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:07,2018-05-22 03:14:07,"0,100s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:07,2018-05-22 03:14:07,"0,061s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:07,2018-05-22 03:14:08,"0,115s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:08,2018-05-22 03:14:08,"0,068s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:14:08,2018-05-22 03:14:09,"1,014s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:09,2018-05-22 03:14:09,"0,101s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:14:09,2018-05-22 03:14:10,"1,000s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:10,2018-05-22 03:14:10,"0,072s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:10,2018-05-22 03:14:10,"0,044s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:10,2018-05-22 03:14:10,"0,062s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:10,2018-05-22 03:14:11,"0,694s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldSeeFullBannerAfterTryingToRegisterTooManyCars,Chrome 66.0.3359.181,,2018-05-22 03:14:11,2018-05-22 03:14:17,"6,081s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:11,2018-05-22 03:14:13,"2,015s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:14:13,2018-05-22 03:14:13,"0,633s",PASSED
Statement - For (def index : (0..21)),Chrome 66.0.3359.181,,2018-05-22 03:14:13,2018-05-22 03:14:16,"2,621s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:16,2018-05-22 03:14:17,"0,694s",PASSED
