Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 66.0.3359.181,,2018-05-22 03:25:58,2018-05-22 03:25:58,"0,038s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:25:58,2018-05-22 03:25:58,"0,065s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:25:58,2018-05-22 03:25:59,"0,697s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldSeeFullBannerAfterTryingToRegisterTooManyCars,Chrome 66.0.3359.181,,2018-05-22 03:25:59,2018-05-22 03:26:06,"7,016s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:25:59,2018-05-22 03:26:01,"1,970s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:26:01,2018-05-22 03:26:02,"1,155s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:26:02,2018-05-22 03:26:03,"0,667s",PASSED
Statement - For (def index : (0..21)),Chrome 66.0.3359.181,,2018-05-22 03:26:03,2018-05-22 03:26:05,"2,413s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:26:05,2018-05-22 03:26:06,"0,684s",PASSED
