Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Parkin,Chrome 66.0.3359.181,,2018-05-22 03:19:21,2018-05-22 03:19:58,"37,225s",ERROR
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToChangeTariff,Chrome 66.0.3359.181,,2018-05-22 03:19:21,2018-05-22 03:19:28,"7,103s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:22,2018-05-22 03:19:24,"2,697s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:19:24,2018-05-22 03:19:25,"1,158s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:19:25,2018-05-22 03:19:26,"0,973s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:26,2018-05-22 03:19:27,"0,223s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:27,2018-05-22 03:19:27,"0,067s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:27,2018-05-22 03:19:27,"0,094s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:27,2018-05-22 03:19:27,"0,069s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:27,2018-05-22 03:19:27,"0,084s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:27,2018-05-22 03:19:27,"0,066s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:27,2018-05-22 03:19:27,"0,073s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:27,2018-05-22 03:19:27,"0,062s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:27,2018-05-22 03:19:28,"0,580s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:28,2018-05-22 03:19:28,"0,727s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToGoToStatistics,Chrome 66.0.3359.181,,2018-05-22 03:19:28,2018-05-22 03:19:33,"4,927s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:29,2018-05-22 03:19:31,"2,010s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:19:31,2018-05-22 03:19:32,"1,149s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:19:32,2018-05-22 03:19:32,"0,740s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:32,2018-05-22 03:19:33,"0,158s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:33,2018-05-22 03:19:33,"0,733s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterACarAndSeeConfirmation,Chrome 66.0.3359.181,,2018-05-22 03:19:33,2018-05-22 03:19:39,"5,498s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:34,2018-05-22 03:19:36,"1,997s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:19:36,2018-05-22 03:19:37,"1,159s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:19:37,2018-05-22 03:19:37,"0,690s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:37,2018-05-22 03:19:37,"0,120s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:37,2018-05-22 03:19:38,"0,071s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:38,2018-05-22 03:19:38,"0,606s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:38,2018-05-22 03:19:39,"0,704s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterCarAndReleaseIt,Chrome 66.0.3359.181,,2018-05-22 03:19:39,2018-05-22 03:19:43,"4,417s",ERROR
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:39,2018-05-22 03:19:41,"2,035s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:19:41,2018-05-22 03:19:42,"1,152s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:19:42,2018-05-22 03:19:43,"0,673s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:43,2018-05-22 03:19:43,"0,100s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:43,2018-05-22 03:19:43,"0,102s",PASSED
