Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:43,2018-05-22 03:19:43,"0,135s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:43,2018-05-22 03:19:43,"0,065s",PASSED
wait,Chrome 66.0.3359.181,,2018-05-22 03:19:43,2018-05-22 03:19:43,"0,001s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldSeeErrorAfterTryingToReleaseSameCarTwice,Chrome 66.0.3359.181,,2018-05-22 03:19:43,2018-05-22 03:19:51,"7,891s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:43,2018-05-22 03:19:46,"2,687s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:19:46,2018-05-22 03:19:47,"1,153s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:19:47,2018-05-22 03:19:48,"0,637s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:48,2018-05-22 03:19:48,"0,095s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:48,2018-05-22 03:19:48,"0,060s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:48,2018-05-22 03:19:48,"0,088s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:48,2018-05-22 03:19:48,"0,061s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:19:48,2018-05-22 03:19:49,"1,014s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:49,2018-05-22 03:19:49,"0,091s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:19:49,2018-05-22 03:19:50,"1,004s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:19:50,2018-05-22 03:19:50,"0,088s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:50,2018-05-22 03:19:50,"0,034s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:19:50,2018-05-22 03:19:50,"0,065s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:50,2018-05-22 03:19:51,"0,698s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldSeeFullBannerAfterTryingToRegisterTooManyCars,Chrome 66.0.3359.181,,2018-05-22 03:19:51,2018-05-22 03:19:58,"7,109s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:51,2018-05-22 03:19:53,"1,977s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 03:19:53,2018-05-22 03:19:54,"1,147s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:19:54,2018-05-22 03:19:55,"0,658s",PASSED
Statement - For (def index : (0..21)),Chrome 66.0.3359.181,,2018-05-22 03:19:55,2018-05-22 03:19:58,"2,500s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:19:58,2018-05-22 03:19:58,"0,695s",PASSED
