Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Parkin,Chrome 66.0.3359.181,,2018-05-22 03:14:43,2018-05-22 03:15:14,"30,888s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToChangeTariff,Chrome 66.0.3359.181,,2018-05-22 03:14:43,2018-05-22 03:14:50,"6,253s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:44,2018-05-22 03:14:46,"2,775s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:14:46,2018-05-22 03:14:47,"1,058s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:47,2018-05-22 03:14:48,"0,208s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:48,2018-05-22 03:14:48,"0,069s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:48,2018-05-22 03:14:48,"0,123s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:48,2018-05-22 03:14:48,"0,075s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:48,2018-05-22 03:14:48,"0,098s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:48,2018-05-22 03:14:48,"0,068s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:48,2018-05-22 03:14:48,"0,117s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:48,2018-05-22 03:14:48,"0,068s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:48,2018-05-22 03:14:49,"0,580s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:49,2018-05-22 03:14:50,"0,722s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToGoToStatistics,Chrome 66.0.3359.181,,2018-05-22 03:14:50,2018-05-22 03:14:53,"3,867s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:50,2018-05-22 03:14:52,"2,135s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:14:52,2018-05-22 03:14:53,"0,730s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:53,2018-05-22 03:14:53,"0,149s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:53,2018-05-22 03:14:53,"0,715s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterACarAndSeeConfirmation,Chrome 66.0.3359.181,,2018-05-22 03:14:53,2018-05-22 03:14:57,"3,978s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:54,2018-05-22 03:14:55,"1,976s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:14:55,2018-05-22 03:14:56,"0,765s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:14:56,2018-05-22 03:14:56,"0,223s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:56,2018-05-22 03:14:57,"0,111s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:14:57,2018-05-22 03:14:57,"0,079s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:57,2018-05-22 03:14:57,"0,711s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterCarAndReleaseIt,Chrome 66.0.3359.181,,2018-05-22 03:14:57,2018-05-22 03:15:01,"3,527s",FAILED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:14:58,2018-05-22 03:15:00,"2,003s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:15:00,2018-05-22 03:15:00,"0,649s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:15:00,2018-05-22 03:15:00,"0,102s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:15:00,2018-05-22 03:15:00,"0,071s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:15:00,2018-05-22 03:15:00,"0,097s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:15:00,2018-05-22 03:15:01,"0,101s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:15:01,2018-05-22 03:15:01,"0,371s",FAILED
,,,,,,
Test Cases/givenStartingPageShouldSeeErrorAfterTryingToReleaseSameCarTwice,Chrome 66.0.3359.181,,2018-05-22 03:15:01,2018-05-22 03:15:08,"6,904s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:15:01,2018-05-22 03:15:04,"2,730s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:15:04,2018-05-22 03:15:04,"0,580s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:15:04,2018-05-22 03:15:05,"0,244s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:15:05,2018-05-22 03:15:05,"0,062s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:15:05,2018-05-22 03:15:05,"0,097s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:15:05,2018-05-22 03:15:05,"0,080s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:15:05,2018-05-22 03:15:06,"1,012s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:15:06,2018-05-22 03:15:06,"0,093s",PASSED
delay,Chrome 66.0.3359.181,,2018-05-22 03:15:06,2018-05-22 03:15:07,"1,001s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 03:15:07,2018-05-22 03:15:07,"0,083s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:15:07,2018-05-22 03:15:07,"0,044s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 03:15:07,2018-05-22 03:15:07,"0,064s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:15:07,2018-05-22 03:15:08,"0,701s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldSeeFullBannerAfterTryingToRegisterTooManyCars,Chrome 66.0.3359.181,,2018-05-22 03:15:08,2018-05-22 03:15:14,"5,944s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 03:15:08,2018-05-22 03:15:10,"1,983s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 03:15:10,2018-05-22 03:15:10,"0,515s",PASSED
Statement - For (def index : (0..21)),Chrome 66.0.3359.181,,2018-05-22 03:15:10,2018-05-22 03:15:13,"2,612s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 03:15:13,2018-05-22 03:15:14,"0,702s",PASSED
