Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Parkin,Chrome 66.0.3359.181,,2018-05-22 11:42:39,2018-05-22 11:43:37,"58,281s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToChangeTariff,Chrome 66.0.3359.181,,2018-05-22 11:42:39,2018-05-22 11:42:47,"8,359s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 11:42:39,2018-05-22 11:42:43,"3,846s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 11:42:43,2018-05-22 11:42:45,"1,223s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 11:42:45,2018-05-22 11:42:45,"0,920s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:45,2018-05-22 11:42:46,"0,219s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:46,2018-05-22 11:42:46,"0,061s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 11:42:46,2018-05-22 11:42:46,"0,096s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:46,2018-05-22 11:42:46,"0,064s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 11:42:46,2018-05-22 11:42:46,"0,076s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:46,2018-05-22 11:42:46,"0,074s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 11:42:46,2018-05-22 11:42:46,"0,077s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:46,2018-05-22 11:42:46,"0,076s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:46,2018-05-22 11:42:47,"0,579s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 11:42:47,2018-05-22 11:42:47,"0,707s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToGoToStatistics,Chrome 66.0.3359.181,,2018-05-22 11:42:47,2018-05-22 11:42:52,"4,502s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 11:42:48,2018-05-22 11:42:50,"1,915s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 11:42:50,2018-05-22 11:42:51,"1,119s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 11:42:51,2018-05-22 11:42:51,"0,449s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:51,2018-05-22 11:42:51,"0,159s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 11:42:51,2018-05-22 11:42:52,"0,728s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterACarAndSeeConfirmation,Chrome 66.0.3359.181,,2018-05-22 11:42:52,2018-05-22 11:42:57,"5,027s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 11:42:52,2018-05-22 11:42:54,"1,923s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 11:42:54,2018-05-22 11:42:55,"1,116s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 11:42:55,2018-05-22 11:42:56,"0,434s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 11:42:56,2018-05-22 11:42:56,"0,089s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:56,2018-05-22 11:42:56,"0,064s",PASSED
click,Chrome 66.0.3359.181,,2018-05-22 11:42:56,2018-05-22 11:42:56,"0,581s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-22 11:42:56,2018-05-22 11:42:57,"0,693s",PASSED
,,,,,,
Test Cases/givenStartingPageShouldBeAbleToRegisterCarAndReleaseIt,Chrome 66.0.3359.181,,2018-05-22 11:42:57,2018-05-22 11:43:03,"5,675s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-22 11:42:57,2018-05-22 11:42:59,"1,908s",PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-22 11:42:59,2018-05-22 11:43:00,"1,117s",PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-22 11:43:00,2018-05-22 11:43:01,"0,459s",PASSED
setText,Chrome 66.0.3359.181,,2018-05-22 11:43:01,2018-05-22 11:43:01,"0,097s",PASSED
